source_file,source_text,proposed_key,target_text,notes
src/components/pc/home/PCHomeScreen.tsx,도움말,pc.home.guide.title,ヘルプ,
src/components/pc/home/PCHomeScreen.tsx,PC 로비 가이드,pc.home.guide.subtitle,PCロビーガイド,
src/components/pc/home/PCHomeScreen.tsx,모드를 고르고 세션을 선택한 뒤 사건을 클릭하면 브리핑을 거쳐 바로 재판이 시작됩니다.,pc.home.guide.body,"モードを選び、セッションを決めて事件をクリックすると、ブリーフィングを経てすぐに公判が始まります。",P1 wrap risk
src/components/pc/home/PCHomeScreen.tsx,라이브 상태,pc.home.live.title,ライブ状態,
src/components/pc/home/PCHomeScreen.tsx,AI 연결됨,pc.home.live.connected,AI接続中,
src/components/pc/home/PCHomeScreen.tsx,오프라인 모드,pc.home.live.offline,オフラインモード,
src/components/pc/home/PCHomeScreen.tsx,AI 연결,pc.home.live.aiLine,AI接続,
src/components/pc/home/PCHomeScreen.tsx,정상,pc.home.live.status.normal,正常,
src/components/pc/home/PCHomeScreen.tsx,미연결,pc.home.live.status.disconnected,未接続,
src/components/pc/home/PCHomeScreen.tsx,조사 토큰,pc.home.live.tokens,調査トークン,glossary investigation_token
src/components/pc/home/PCHomeScreen.tsx,스킬 포인트,pc.home.live.skill,スキルポイント,glossary skill_point
src/components/pc/home/PCHomeScreen.tsx,다음 충전,pc.home.live.nextRefill,次回回復,
src/components/pc/home/PCHomeScreen.tsx,설정,pc.common.settings,設定,reused
src/components/pc/home/PCHomeScreen.tsx,솔로몬의 딜레마,pc.home.title,ソロモンのジレンマ,branding flag (see GLOSSARY_AUDIT)
src/components/pc/home/PCHomeScreen.tsx,현대판 솔로몬이 되어 판결을 내려보세요.,pc.home.subtitle,現代のソロモンとなって判決を下しましょう。,
src/components/pc/home/PCHomeScreen.tsx,일반 모드 >,pc.home.mode.standard,通常モード ＞,
src/components/pc/home/PCHomeScreen.tsx,시즌 모드 >,pc.home.mode.season,シーズンモード ＞,
src/components/pc/home/PCHomeScreen.tsx,배정 준비 중,pc.home.mode.season.preparing,配信準備中,
src/components/pc/home/PCHomeScreen.tsx,재판관 정보 >,pc.home.info.judge,裁判官情報 ＞,glossary judge
src/components/pc/home/PCHomeScreen.tsx,상세 보기 >,pc.home.info.detail,詳細を見る ＞,
src/components/pc/home/PCHomeScreen.tsx,리더보드,pc.home.info.leaderboard,リーダーボード,
src/components/pc/home/PCHomeScreen.tsx,일반 모드,pc.home.depth.standard.title,通常モード,
src/components/pc/home/PCHomeScreen.tsx,세션을 고르면 해당 사건 리스트로 바로 이동합니다.,pc.home.depth.standard.desc,セッションを選ぶと、その事件リストにすぐ移動します。,
src/components/pc/home/PCHomeScreen.tsx,준비 중,pc.home.session.disabled,準備中,
src/components/pc/home/PCHomeScreen.tsx,평균,pc.home.session.average,平均,
src/components/pc/home/PCHomeScreen.tsx,잠김,pc.home.session.locked,ロック,
src/components/pc/home/PCHomeScreen.tsx,선택한 사건은 브리핑을 거쳐 바로 재판으로 이어집니다.,pc.home.case.intro,選択した事件はブリーフィングを経て、すぐに法廷へ進みます。,
src/components/pc/home/PCHomeScreen.tsx,배정된 사건들입니다. 시즌 전용 사건은 추후 선별 배정됩니다.,pc.home.case.season.intro,配信中の事件です。シーズン専用の事件は順次追加されます。,
src/components/pc/home/PCHomeScreen.tsx,시즌 배정이 열리면 이곳에 자동으로 반영됩니다.,pc.home.case.season.empty.desc,シーズンが開始されると、ここに自動で反映されます。,
src/components/pc/home/PCHomeScreen.tsx,현재 시즌 사건이 아직 배정되지 않았습니다.,pc.home.case.season.empty.title,今シーズンの事件はまだ配信されていません。,
src/components/pc/home/PCHomeScreen.tsx,재판관 정보,pc.home.depth.judge.title,裁判官情報,
src/components/pc/home/PCHomeScreen.tsx,"현재 재판관의 성향과 타이틀, 판결 기록을 확인합니다.",pc.home.depth.judge.desc,"現在の裁判官の傾向、称号、判決履歴を確認します。",
src/components/pc/home/PCHomeScreen.tsx,정보 확인,pc.home.judge.tab.info,情報を見る,
src/components/pc/home/PCHomeScreen.tsx,판결 기록,pc.home.judge.tab.history,判決履歴,
src/components/pc/home/PCHomeScreen.tsx,재판관 관리,pc.home.judge.tab.manage,裁判官管理,
src/components/pc/home/PCHomeScreen.tsx,명성 진행,pc.home.judge.fame,名声の進行,
src/components/pc/home/PCHomeScreen.tsx,처리 사건,pc.home.judge.stat.cases,担当事件数,
src/components/pc/home/PCHomeScreen.tsx,최고 점수,pc.home.judge.stat.best,ベストスコア,
src/components/pc/home/PCHomeScreen.tsx,평균 점수,pc.home.judge.stat.average,平均スコア,
src/components/pc/home/PCHomeScreen.tsx,시즌,pc.home.judge.stat.season,シーズン,
src/components/pc/home/PCHomeScreen.tsx,탐구(균형),pc.home.judge.axis.inquiry,探求(バランス),
src/components/pc/home/PCHomeScreen.tsx,논리,pc.home.judge.axis.inquiry.left,論理,
src/components/pc/home/PCHomeScreen.tsx,직관,pc.home.judge.axis.inquiry.right,直感,
src/components/pc/home/PCHomeScreen.tsx,판결(균형),pc.home.judge.axis.judgment,判決(バランス),
src/components/pc/home/PCHomeScreen.tsx,엄격,pc.home.judge.axis.judgment.left,厳格,
src/components/pc/home/PCHomeScreen.tsx,관용,pc.home.judge.axis.judgment.right,寛容,
src/components/pc/home/PCHomeScreen.tsx,해결(균형),pc.home.judge.axis.resolve,解決(バランス),
src/components/pc/home/PCHomeScreen.tsx,원칙,pc.home.judge.axis.resolve.left,原則,
src/components/pc/home/PCHomeScreen.tsx,봉합,pc.home.judge.axis.resolve.right,修復,native review needed
src/components/pc/home/PCHomeScreen.tsx,판결 기록 모드,pc.home.history.tablist,判決履歴モード,
src/components/pc/home/PCHomeScreen.tsx,사건 선택,pc.home.history.case.title,事件選択,
src/components/pc/home/PCHomeScreen.tsx,표시할 사건이 없습니다.,pc.home.history.case.empty.title,表示できる事件がありません。,
src/components/pc/home/PCHomeScreen.tsx,아직 이 모드에 연결된 사건이 없습니다.,pc.home.history.case.empty.desc,このモードに紐づく事件はまだありません。,
src/components/pc/home/PCHomeScreen.tsx,플레이,pc.home.history.case.stat.plays,プレイ,
src/components/pc/home/PCHomeScreen.tsx,최고,pc.home.history.case.stat.best,ベスト,
src/components/pc/home/PCHomeScreen.tsx,기록 없음,pc.home.history.case.noRecord,記録なし,
src/components/pc/home/PCHomeScreen.tsx,플레이 이력,pc.home.history.play.title,プレイ履歴,
src/components/pc/home/PCHomeScreen.tsx,선택한 사건의 플레이 기록이 없습니다.,pc.home.history.play.empty.title,選択した事件のプレイ記録がありません。,
src/components/pc/home/PCHomeScreen.tsx,해당 사건을 클리어하면 날짜와 점수별 기록이 이곳에 저장됩니다.,pc.home.history.play.empty.desc,この事件をクリアすると、日付とスコア別の記録がここに保存されます。,P2 wrap risk
src/components/pc/home/PCHomeScreen.tsx,플레이 시점 / 점수,pc.home.history.play.timeScore,プレイ日時 / スコア,
src/components/pc/home/PCHomeScreen.tsx,총점,pc.home.history.play.stat.total,総合,
src/components/pc/home/PCHomeScreen.tsx,탐구,pc.home.history.play.stat.inquiry,探求,
src/components/pc/home/PCHomeScreen.tsx,판결,pc.home.history.play.stat.judgment,判決,
src/components/pc/home/PCHomeScreen.tsx,해결,pc.home.history.play.stat.resolve,解決,
src/components/pc/home/PCHomeScreen.tsx,판결 결과 요약,pc.home.history.summary.title,判決結果サマリー,
src/components/pc/home/PCHomeScreen.tsx,상세 보기,pc.home.history.summary.detail,詳細を見る,
src/components/pc/home/PCHomeScreen.tsx,리더보드,pc.home.depth.leaderboard.title,リーダーボード,
src/components/pc/home/PCHomeScreen.tsx,현재 시즌 기준 점수와 명예의 전당 기록입니다.,pc.home.depth.leaderboard.desc,今シーズンのスコアと殿堂入り記録です。,
src/components/pc/home/PCHomeScreen.tsx,아직 시즌 기록이 없습니다.,pc.home.leaderboard.empty.scoreboard.title,今シーズンの記録はまだありません。,
src/components/pc/home/PCHomeScreen.tsx,플레이 기록이 쌓이면 이곳에 자동 반영됩니다.,pc.home.leaderboard.empty.scoreboard.desc,プレイ記録が積み重なると、ここに自動で反映されます。,
src/components/pc/home/PCHomeScreen.tsx,아직 전당 기록이 없습니다.,pc.home.leaderboard.empty.hall.title,殿堂入りの記録はまだありません。,
src/components/pc/home/PCHomeScreen.tsx,최고 기록이 쌓이면 시즌 명예의 전당이 채워집니다.,pc.home.leaderboard.empty.hall.desc,ハイスコアが積み重なると、シーズンの殿堂が満たされます。,
src/components/pc/home/PCHomeScreen.tsx,설정,pc.home.depth.settings.title,設定,
src/components/pc/home/PCHomeScreen.tsx,"오디오, 텍스트 속도, AI 연결 상태를 관리합니다.",pc.home.depth.settings.desc,"オーディオ、テキスト速度、AI接続状態を管理します。",
src/components/pc/home/PCHomeScreen.tsx,화면,pc.home.settings.screen.title,画面,
src/components/pc/home/PCHomeScreen.tsx,해상도 프리셋,pc.home.settings.resolution.label,解像度プリセット,
src/components/pc/home/PCHomeScreen.tsx,선택한 해상도에 맞춰 좌우 패널이 단계적으로 조정됩니다,pc.home.settings.resolution.desc,選択した解像度に合わせて、左右のパネルが段階的に調整されます。,
src/components/pc/home/PCHomeScreen.tsx,Auto (자동 감지),pc.home.settings.resolution.auto,Auto (自動検出),
src/components/pc/home/PCHomeScreen.tsx,배경음,pc.home.settings.bgm.label,BGM,
src/components/pc/home/PCHomeScreen.tsx,타이틀과 플레이 배경음,pc.home.settings.bgm.desc,タイトルおよびプレイ中のBGMです。,
src/components/pc/home/PCHomeScreen.tsx,효과음,pc.home.settings.sfx.label,効果音,
src/components/pc/home/PCHomeScreen.tsx,상호작용과 판결 효과음,pc.home.settings.sfx.desc,操作音と判決演出の効果音です。,
src/components/pc/home/PCHomeScreen.tsx,행동 힌트,pc.home.settings.actionHint.label,アクションヒント,
src/components/pc/home/PCHomeScreen.tsx,대사 자동 진행,pc.home.settings.autoDialogue.label,セリフ自動進行,
src/components/pc/home/PCHomeScreen.tsx,켜짐,pc.home.settings.toggle.on,オン,
src/components/pc/home/PCHomeScreen.tsx,꺼짐,pc.home.settings.toggle.off,オフ,
src/components/pc/home/PCHomeScreen.tsx,텍스트 속도,pc.home.settings.textSpeed.label,テキスト速度,
src/components/pc/home/PCHomeScreen.tsx,대사 표시와 타이핑 속도,pc.home.settings.textSpeed.desc,セリフの表示・タイピング速度です。,
src/components/pc/home/PCHomeScreen.tsx,빠르게,pc.home.settings.textSpeed.fast,速い,
src/components/pc/home/PCHomeScreen.tsx,보통,pc.home.settings.textSpeed.normal,標準,
src/components/pc/home/PCHomeScreen.tsx,느리게,pc.home.settings.textSpeed.slow,遅い,
src/components/pc/home/PCHomeScreen.tsx,확인 중,pc.home.settings.ai.checking,確認中,
src/components/pc/home/PCHomeScreen.tsx,오프라인,pc.home.settings.ai.offline,オフライン,
src/components/pc/home/PCHomeScreen.tsx,확인 중…,pc.home.settings.ai.recheck.busy,確認中…,
src/components/pc/home/PCHomeScreen.tsx,연결 다시 확인,pc.home.settings.ai.recheck,接続を再確認,
src/components/pc/home/PCHomeScreen.tsx,뒤로,pc.common.back,戻る,
src/components/pc/home/PCHomeScreen.tsx,지금 해상도를 유지하시겠습니까?,pc.home.resolutionConfirm.title,この解像度のままで続けますか？,
