id,category,source,case_id,key_path,ko,en,ja,zh-CN,notes
case_surface_content_src_data_cases_generated_spouse-01_duo.relationshipLedger_ledger-1_.description,case_surface_content,src/data/cases/generated,spouse-01,duo.relationshipLedger[ledger-1].description,"영수증(머리끈/틴트), 오피스텔 GPS, 새벽 통화가 겹치며 d-1은 외도 의심 프레임으로 굳어졌다.","Receipts (hair tie/lip tint), Officetel GPS, and early-morning calls overlap, fixing d-1 in an affair-suspicion frame.",レシート（ヘアゴム／リップティント）、オフィステルGPS、早朝の通話が重なり、d-1は不倫疑惑のフレームに固まっている。,收据（发圈/唇釉）、韩式商住公寓GPS和凌晨通话相互重叠，使d-1固定在出轨怀疑的框架中。,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.relationshipLedger_ledger-1_.distortionDirection,case_surface_content,src/data/cases/generated,spouse-01,duo.relationshipLedger[ledger-1].distortionDirection,"A는 외도 쪽으로, B는 숨김 이유를 말하지 않은 채 생활 패턴만 분리해 기억한다.","A remembers it through the lens of an affair, while B separates only the routine pattern without stating the reason for hiding it.",Aは不倫の方向で記憶し、Bは隠した理由を語らないまま生活パターンだけを切り分けて記憶している。,A把它记成出轨方向，B则不说明隐瞒理由，只把生活模式单独分离出来记忆。,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.relationshipLedger_ledger-2_.description,case_surface_content,src/data/cases/generated,spouse-01,duo.relationshipLedger[ledger-2].description,시댁 이야기가 나오면 크게 부딪힌다는 기억 때문에 B는 형네 사정을 말하지 않는 쪽을 택했다.,"Because talks about the in-laws had led to major clashes before, B chose not to speak about his brother’s family situation.",義実家の話になると大きく衝突するという記憶から、Bは兄一家の事情を話さない方を選んだ。,因为记得一提婆家就会激烈冲突，B选择不说哥哥一家那边的情况。,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.relationshipLedger_ledger-3_.description,case_surface_content,src/data/cases/generated,spouse-01,duo.relationshipLedger[ledger-3].description,"B는 개인 비자금에서 3,000만원을 형에게 현금 전달했고, A는 위임장을 조작해 공동 적금 2,000만원을 해지한 뒤 전액을 투자방에 넣었다가 잃었다.","B handed ₩30M in cash from his personal hidden fund to his older brother. A manipulated a power of attorney, cancelled the ₩20M joint savings account, and lost the entire amount in an investment chat.","Bは個人の隠し資金から3,000万ウォンを兄に現金で渡した。Aは委任状を操作して共同積立預金2,000万ウォンを解約し、その全額を投資チャットに入れて失った。",B从个人私房钱中取出3000万韩元现金交给哥哥。A操纵委托书解约共同储蓄账户中的2000万韩元，并把全额投入投资群后损失。,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.relationshipLedger_ledger-4_.description,case_surface_content,src/data/cases/generated,spouse-01,duo.relationshipLedger[ledger-4].description,숨김의 시작과 실제 송금 실행의 순서는 서로 다르다.,The start of the concealment and the actual execution of the transfer happen in a different order.,隠蔽の始まりと実際の送金実行の順序は互いに異なる。,隐瞒的开始与实际转账执行的先后顺序并不相同。,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.relationshipLedger_ledger-4_.distortionDirection,case_surface_content,src/data/cases/generated,spouse-01,duo.relationshipLedger[ledger-4].distortionDirection,각자 자기에게 유리한 선후만 먼저 강조한다.,Each side first emphasizes only the sequence that favors them.,双方とも、自分に有利な前後関係だけを先に強調する。,双方都先强调对自己有利的先后顺序。,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-1_.knowledgeScope,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-1].knowledgeScope,1주일에 2~3번 방문하는 차량을 기억한다. 정확한 호수는 모르지만 그 층에 여자 혼자 사는 집은 없는 것으로 안다.,"Remembers a car visiting two to three times a week. Does not know the exact unit, but understands that no woman lives alone on that floor.",週に2〜3回訪れる車を覚えている。正確な部屋番号は知らないが、その階に女性の一人暮らしの部屋はないと把握している。,记得有辆车每周来两到三次。不知道准确门牌号，但知道那一层没有女性独居的住户。,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-1_.name,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-1].name,오피스텔 경비,Officetel Security Guard,オフィステル警備員,韩式商住公寓保安,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-1_.surfaceKnowledge,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-1].surfaceKnowledge,오피스텔 출입 빈도와 해당 층 거주 현황을 아는 제3자 증인이다.,A third-party witness who knows the Officetel entry frequency and the residency status on that floor.,オフィステルへの出入り頻度と該当階の居住状況を知る第三者証人。,了解韩式商住公寓出入频率及该楼层居住情况的第三方证人。,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-1_.witnessProfile.addressA,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-1].witnessProfile.addressA,이쪽 분,This person,こちらの方,这位,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-1_.witnessProfile.addressB,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-1].witnessProfile.addressB,그 차 주인분,The owner of that car,あの車の持ち主,那辆车的车主,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-1_.witnessProfile.addressJudge,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-1].witnessProfile.addressJudge,재판관님,Your Honor,裁判官,法官,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-1_.witnessProfile.occupation,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-1].witnessProfile.occupation,경비원,security guard,警備員,保安,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-1_.witnessProfile.relationToA,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-1].witnessProfile.relationToA,모르는 사이다.,No prior relationship.,面識はない。,互不认识。,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-1_.witnessProfile.relationToB,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-1].witnessProfile.relationToB,차량으로만 안면이 있다.,Knows them only by the car.,車を通じて顔を知っているだけ。,只通过车辆有印象。,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-1_.witnessProfile.speechStyle,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-1].witnessProfile.speechStyle,사실 위주로 간결하게 말하며 개인적 의견은 삼간다.,"Speaks briefly and factually, avoiding personal opinions.",事実中心に簡潔に話し、個人的な意見は控える。,以事实为主简洁陈述，避免个人意见。,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-2_.knowledgeScope,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-2].knowledgeScope,위임장으로 적금 해지한 건이 있었다. 절차상 이상한 점이 있었지만 처리됐다.,"There was a joint savings cancellation made through a power of attorney. Something seemed procedurally odd, but it was processed.",委任状によって積立預金が解約された件があった。手続き上おかしな点はあったが、処理された。,曾有一笔通过委托书办理的储蓄账户解约。程序上有可疑之处，但最终已办理。,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-2_.name,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-2].name,은행 직원,Bank Clerk,銀行職員,银行职员,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-2_.surfaceKnowledge,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-2].surfaceKnowledge,A의 위임장 조작 힌트를 제공하는 제3자 증인이다.,A third-party witness who provides a clue to A’s manipulation of the power of attorney.,Aによる委任状操作の手がかりを提供する第三者証人。,提供A操纵委托书线索的第三方证人。,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-2_.witnessProfile.addressA,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-2].witnessProfile.addressA,고객님,Customer,お客様,客户,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-2_.witnessProfile.addressB,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-2].witnessProfile.addressB,명의자분,The account holder,名義人の方,名义人,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-2_.witnessProfile.addressJudge,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-2].witnessProfile.addressJudge,재판관님,Your Honor,裁判官,法官,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-2_.witnessProfile.occupation,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-2].witnessProfile.occupation,은행 직원,Bank Clerk,銀行職員,银行职员,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-2_.witnessProfile.relationToA,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-2].witnessProfile.relationToA,고객으로만 안다.,Knows them only as a customer.,顧客としてのみ知っている。,只知道对方是客户。,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-2_.witnessProfile.relationToB,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-2].witnessProfile.relationToB,모르는 사이다.,No prior relationship.,面識はない。,互不认识。,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-2_.witnessProfile.speechStyle,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-2].witnessProfile.speechStyle,업무적으로 정확하게 말하며 개인 정보는 조심스럽게 다룬다.,Speaks with professional precision and handles personal information carefully.,業務上は正確に話し、個人情報は慎重に扱う。,以业务口吻准确陈述，并谨慎处理个人信息。,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-3_.knowledgeScope,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-3].knowledgeScope,지연 씨가 '남편이 바람이면 내 돈부터 지키겠다'고 했다. 내가 투자방 링크를 보냈다.,"Ji-yeon said, 'If my husband is cheating, I’m protecting my money first.' I sent her the investment chat link.",ジヨンさんは「夫が浮気しているなら、まず自分のお金を守る」と言っていた。私が投資チャットのリンクを送った。,智妍说过：“如果我丈夫出轨，我要先保住自己的钱。”投资群链接是我发给她的。,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-3_.name,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-3].name,박미라,Park Mi-ra,パク・ミラ,朴美罗,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-3_.surfaceKnowledge,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-3].surfaceKnowledge,A의 투자 사기 경위와 링크 전달 사실을 아는 지인 증인이다.,An acquaintance witness who knows how A became involved in the investment scam and that the link was sent.,Aが投資詐欺に関わるに至った経緯とリンク送付の事実を知る知人証人。,了解A卷入投资诈骗经过及链接传递事实的熟人证人。,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-3_.witnessProfile.addressA,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-3].witnessProfile.addressA,지연 씨,Ji-yeon,ジヨンさん,智妍,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-3_.witnessProfile.addressB,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-3].witnessProfile.addressB,준호 씨,Jun-ho,ジュノさん,俊浩,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-3_.witnessProfile.addressJudge,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-3].witnessProfile.addressJudge,재판관님,Your Honor,裁判官,法官,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-3_.witnessProfile.occupation,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-3].witnessProfile.occupation,카페 운영,café owner,カフェ経営,经营咖啡馆,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-3_.witnessProfile.relationToA,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-3].witnessProfile.relationToA,동네에서 오래 본 지인이다.,An acquaintance from the neighborhood for many years.,近所で長く顔を合わせてきた知人。,在社区里认识很久的熟人。,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-3_.witnessProfile.relationToB,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-3].witnessProfile.relationToB,안면만 있는 사이다.,Only knows them by face.,顔を知っている程度の関係。,只是脸熟的关系。,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
case_surface_content_src_data_cases_generated_spouse-01_duo.socialGraph_w-3_.witnessProfile.speechStyle,case_surface_content,src/data/cases/generated,spouse-01,duo.socialGraph[w-3].witnessProfile.speechStyle,과장은 하지 않지만 누가 먼저 무슨 말을 했는지는 또렷하게 기억한다.,"Does not exaggerate, but clearly remembers who said what first.",大げさには言わないが、誰が先に何を言ったかははっきり覚えている。,不夸张，但清楚记得是谁先说了什么。,"Case metadata, character profile, dispute, evidence, solution, or evidence-viewer surface text. Party dialogue scripts are not included here."
