priority,locale,key_or_source,issue,recommendation
PASS,all,localePolicy structure (3 cases),"All 3 active cases (spouse-01 / family-01 / friend-01) have parallel localePolicy structure: schemaVersion=`script-localization-v1`, status=`tier-a-draft`, forbiddenLexemes/paraphraseLexemes/uiSurfaceMap populated for en/ja/zh-CN. Notes block documents Tier B gating for behaviorHint.",no action
PASS,all,validate-script-locale.cjs structural validation,"validateLocalePolicy enforces (per locale): forbiddenLexemes is non-empty array (line 76-80), paraphraseLexemes is non-empty array (line 81-85), uiSurfaceMap is non-empty object (line 86-90). status=`scaffold` rejected (line 72-74). All 3 cases pass these checks since promotion to tier-a-draft.",no action
PASS,all,lexeme matcher wiring,"validateCaseLexemes (line 329-343) iterates both forbiddenLexemes and paraphraseLexemes per locale; uses containsLexeme with lower-case matching for EN and direct includes for JA/zh-CN. Different error messages for forbidden vs paraphrase (`truth lexeme before S5` vs `truth paraphrase before S5`). Both error categories block.",no action
PASS,all,truthStage S5 gating,"isTruthLexemeAllowed checks options.truthStage === 'S5' || 's5' (line 345-347). Truth lexemes allowed only post-confession. Per-variant validators thread truthStage from entry.lieState/variant.lieState into options.",no action
PASS,all,behaviorHint Tier B gating,"validateScriptedTextOverlay line 125-127 + collectAndValidateVariantIds line 276-278 both pass `skipCaseLexemes: true` for behaviorHint validation. Public brand guard still applies (line 321-325 runs first, regardless of skipCaseLexemes). Tier B activation = remove the `skipCaseLexemes: true` flag at those 2 call sites. Notes block in 3 case JSONs explicitly documents this deferral.",no action
PASS,all,public brand guard distinct from truth lexeme matcher,"validateOptionalText (line 318-327) applies publicBrandForbidden patterns BEFORE case lexemes. Brand guard runs unconditionally (not gated by skipCaseLexemes / truthStage). Critical separation: brand violations are absolute; truth lexemes have S5 confession gate.",no action
PASS,en,EN brand pattern coverage,"3 patterns with `i` flag (case-insensitive): `\\bProject[ _-]?Solomon\\b` catches Project Solomon / Project_Solomon / Project-Solomon. `\\bSolomon(?:'s)?(?:\\s+Dilemma)?\\b` catches Solomon / Solomon's / Solomon Dilemma / Solomon's Dilemma + any standalone `Solomon`. `\\bSolomon Court\\b` explicit. Locked brand `Verdict Zero: Trial of Truth` does not trigger.",no action
PASS,ja,JA brand pattern correctly narrow,"Single pattern `/ソロモン法廷/` matches only the rejected credit subtitle. Brand rule allows JA Solomon-based naming generally (locked `ソロモンのジレンマ` is permitted). Narrow scope matches the brand rule's permissive JA stance.",no action
PASS,zh-CN,zh-CN brand pattern correctly strict,"Patterns `/所罗门/` and `/所羅門/` (Traditional + Simplified) catch any Solomon-based zh-CN form. Brand rule says zh-CN uses natural localized title (no Solomon). Strict scope matches.",no action
PASS,all,check:all integration,"package.json scripts.check:all = `npm run localization:glossary && npm run localization:scripts:validate && npm run qa:fast && npm run qa:free-interrogation`. localization:scripts:validate now runs as second step. Failures block subsequent qa steps. ✓",no action
PASS,all,sidecar walk brand-only sweep,"registerSidecar (line 310-316) walks all overlay strings with skipCaseLexemes:true — generic sweep enforces brand guard but lets per-variant validators handle truth lexeme with proper truthStage context. Defensive layering: even strings outside the variant structure get brand-checked.",no action
PASS,all,scriptedText / angle / dialogue / mediation / generatedCase overlay coverage,"6 distinct overlay types validated: validateScriptedTextOverlay (channel/entry/variant + behaviorHint) / validateAngleOverlay (3 sub-types: angle_catalog, judge_questions, interrogation_answers) / validateDialogueOverlay (phase1) / validateMediationOverlay (paths/dialogues) / validateGeneratedCaseOverlay (full walkStrings without skipCaseLexemes). Each enforces overlayKind + per-id base coverage. Strict mode adds full-coverage assertion.",no action
